source,target,mode
0,1,repression
0,0,repression
0,487,repression
0,809,repression
0,2,activation
0,3,repression
0,4,repression
0,5,repression
0,6,repression
0,12,repression
0,13,repression
0,14,activation
0,16,repression
0,17,repression
0,18,activation
0,20,repression
0,21,repression
0,22,activation
0,23,activation
0,26,repression
0,29,repression
0,30,repression
0,32,repression
0,34,repression
0,35,repression
0,36,activation
0,37,repression
0,39,repression
0,41,repression
0,43,repression
0,44,repression
0,45,repression
0,48,activation
0,51,repression
0,52,repression
0,54,repression
0,56,activation
0,58,repression
0,60,repression
0,69,activation
0,72,repression
0,73,repression
0,80,activation
0,82,activation
0,86,activation
0,88,repression
0,91,repression
0,101,repression
0,115,activation
0,121,activation
0,137,repression
0,141,repression
0,146,activation
0,156,repression
0,157,repression
0,163,repression
0,169,activation
0,176,activation
0,179,repression
0,188,repression
0,190,repression
0,197,activation
0,202,activation
0,203,repression
0,204,repression
0,205,repression
0,216,repression
0,217,repression
0,219,repression
0,228,activation
0,229,repression
0,237,repression
0,242,repression
0,253,repression
0,256,activation
0,258,repression
0,260,repression
0,262,activation
0,273,activation
0,277,repression
0,288,repression
0,294,activation
0,305,activation
0,306,repression
0,313,activation
0,314,repression
0,316,repression
0,317,activation
0,323,repression
0,324,activation
0,325,activation
0,331,activation
0,333,activation
0,338,activation
0,345,repression
0,350,repression
0,362,repression
0,363,repression
0,367,repression
0,388,repression
0,391,activation
0,399,repression
0,411,repression
0,414,repression
0,415,activation
0,419,repression
0,439,repression
0,440,activation
0,453,activation
0,460,repression
0,468,activation
0,470,repression
0,483,activation
0,491,repression
0,502,repression
0,503,repression
0,507,activation
0,522,repression
0,524,repression
0,525,repression
0,535,repression
0,539,activation
0,549,repression
0,565,repression
0,567,repression
0,570,activation
0,572,repression
0,586,repression
0,597,repression
0,604,repression
0,615,repression
0,624,activation
0,628,activation
0,638,repression
0,647,repression
0,667,repression
0,669,repression
0,671,repression
0,678,repression
0,679,activation
0,682,repression
0,689,repression
0,702,repression
0,703,repression
0,710,repression
0,717,repression
0,722,repression
0,732,repression
0,740,repression
0,746,repression
0,752,activation
0,756,repression
0,759,repression
0,760,repression
0,778,repression
0,788,repression
0,792,repression
0,799,repression
0,800,repression
0,806,activation
0,834,repression
0,862,repression
0,866,repression
0,872,repression
0,879,repression
0,893,activation
0,897,repression
0,898,activation
0,900,repression
0,911,repression
0,914,repression
0,920,repression
0,925,activation
0,928,repression
0,930,repression
0,937,repression
0,939,repression
0,959,repression
0,961,repression
0,979,activation
0,994,repression
0,997,activation
0,1000,repression
0,1007,activation
0,1031,activation
0,1034,repression
0,1066,activation
0,1086,repression
0,1088,activation
0,1091,repression
0,1092,repression
0,1097,activation
0,1101,repression
0,1102,activation
0,1104,repression
0,1125,activation
0,1126,repression
0,1134,activation
0,1142,repression
0,1146,activation
0,1148,repression
0,1154,repression
0,1161,repression
0,1166,repression
0,1170,activation
0,1185,repression
0,1202,activation
0,1211,activation
0,1213,repression
0,1217,activation
0,1223,repression
0,1229,repression
0,1235,repression
0,1238,activation
0,1242,repression
0,1246,activation
0,1254,repression
0,1265,activation
0,1266,repression
0,1273,repression
0,1295,repression
0,1297,repression
0,1308,repression
0,1317,repression
0,1320,activation
0,1330,repression
0,1339,repression
0,1422,repression
0,1428,repression
0,1436,repression
0,1441,repression
0,1444,activation
0,1451,repression
0,1464,repression
0,1472,activation
0,1481,repression
0,1508,repression
0,1510,repression
0,1520,repression
0,1532,repression
0,1533,activation
0,1537,activation
0,1542,activation
0,1543,repression
0,1554,activation
0,1560,repression
0,1582,activation
0,1588,activation
0,1594,repression
0,1605,repression
0,1609,repression
0,1624,repression
0,1670,repression
0,1675,repression
0,1718,repression
