source,target,mode
0,1,activation
0,3,activation
0,5,activation
0,190,activation
0,355,activation
0,261,repression
0,1344,activation
0,2,activation
0,4,activation
0,7,activation
0,8,activation
0,11,activation
0,13,activation
0,16,activation
0,18,repression
0,28,activation
0,33,activation
0,39,activation
0,43,activation
0,44,activation
0,45,activation
0,48,repression
0,51,repression
0,52,activation
0,54,repression
0,59,activation
0,61,activation
0,75,activation
0,86,activation
0,92,activation
0,95,activation
0,97,repression
0,98,activation
0,104,activation
0,106,activation
0,108,activation
0,109,activation
0,112,activation
0,113,repression
0,123,activation
0,124,activation
0,127,activation
0,129,repression
0,132,activation
0,135,activation
0,139,activation
0,143,activation
0,144,activation
0,148,activation
0,155,activation
0,157,repression
0,160,activation
0,166,activation
0,180,repression
0,181,activation
0,197,activation
0,198,activation
0,199,activation
0,202,activation
0,203,activation
0,208,repression
0,210,activation
0,214,activation
0,240,activation
0,255,activation
0,263,activation
0,271,repression
0,277,repression
0,279,activation
0,286,activation
0,288,repression
0,290,activation
0,296,repression
0,297,repression
0,314,activation
0,316,activation
0,320,activation
0,321,activation
0,332,activation
0,341,activation
0,348,activation
0,350,repression
0,361,activation
0,364,activation
0,374,activation
0,375,repression
0,385,repression
0,392,activation
0,401,activation
0,403,activation
0,435,activation
0,453,activation
0,465,activation
0,484,activation
0,500,activation
0,513,activation
0,525,activation
0,532,activation
0,535,activation
0,540,activation
0,562,activation
0,565,activation
0,573,activation
0,578,activation
0,586,activation
0,587,repression
0,620,repression
0,621,activation
0,622,activation
0,642,activation
0,647,activation
0,653,activation
0,664,activation
0,667,activation
0,670,repression
0,677,activation
0,687,activation
0,693,activation
0,694,activation
0,702,repression
0,712,activation
0,720,activation
0,725,repression
0,736,activation
0,740,activation
0,753,activation
0,758,activation
0,787,activation
0,817,repression
0,847,activation
0,850,activation
0,864,repression
0,880,activation
0,893,activation
0,903,activation
0,906,activation
0,911,activation
0,916,repression
0,928,activation
0,946,repression
0,963,activation
0,971,activation
0,975,activation
0,980,activation
0,997,activation
0,1023,activation
0,1032,activation
0,1036,activation
0,1042,activation
0,1043,activation
0,1070,activation
0,1084,activation
0,1085,activation
0,1088,repression
0,1105,activation
0,1111,activation
0,1154,activation
0,1155,activation
0,1171,activation
0,1206,activation
0,1232,activation
0,1248,activation
0,1255,activation
0,1303,activation
0,1318,activation
0,1321,activation
0,1327,activation
0,1332,activation
0,1339,activation
0,1345,activation
0,1358,repression
0,1380,repression
0,1442,activation
0,1444,activation
0,1447,activation
0,1475,repression
0,1479,activation
0,1480,activation
0,1483,repression
0,1508,activation
0,1529,repression
0,1538,activation
0,1550,activation
0,1582,activation
0,1592,activation
0,1607,activation
0,1649,activation
0,1653,activation
0,1707,activation
0,1719,activation
0,1750,activation
0,1758,activation
0,1831,repression
0,1846,activation
0,1870,activation
0,1874,activation
0,1906,activation
0,1921,activation
0,1931,activation
0,1940,activation
0,1942,repression
0,1981,activation
0,1995,activation
0,1998,activation
1,2,activation
1,3,activation
1,234,activation
1,1,activation
1,537,activation
1,5,repression
1,684,activation
1,689,activation
1,77,activation
1,881,activation
1,488,repression
1,379,activation
1,614,activation
1,515,activation
1,4,activation
1,7,activation
1,8,activation
1,10,activation
1,11,activation
1,12,repression
1,13,repression
1,16,activation
1,17,repression
1,20,activation
1,22,activation
1,25,activation
1,26,activation
1,27,activation
1,29,activation
1,36,activation
1,38,activation
1,39,activation
1,41,repression
1,42,repression
1,43,repression
1,45,activation
1,51,repression
1,53,repression
1,57,activation
1,59,activation
1,64,activation
1,65,repression
1,66,activation
