source,target,mode
0,1,activation
0,0,activation
0,2,activation
0,4,repression
0,7,repression
0,12,activation
0,6,activation
0,15,activation
0,8,repression
0,35,repression
0,40,activation
0,92,activation
0,99,activation
0,103,activation
0,127,repression
0,122,activation
0,138,repression
0,150,activation
0,160,activation
0,18,activation
0,239,repression
0,123,activation
0,96,activation
0,307,activation
0,327,activation
0,345,activation
0,347,activation
0,355,activation
0,106,activation
0,202,repression
0,401,repression
0,420,activation
0,435,activation
0,121,activation
0,388,activation
0,616,activation
0,644,activation
0,81,activation
0,600,activation
0,31,activation
0,743,activation
0,585,activation
0,781,activation
0,52,activation
0,179,repression
0,544,activation
0,358,activation
0,772,activation
0,1037,activation
0,1053,repression
0,995,repression
0,925,repression
0,1157,repression
0,502,activation
0,1265,activation
0,392,activation
0,1408,activation
0,1433,repression
0,1487,activation
0,623,repression
0,1765,repression
0,61,activation
0,529,activation
0,495,activation
0,1857,activation
0,524,repression
0,225,repression
0,3,activation
0,5,activation
0,9,repression
0,10,activation
0,11,activation
0,13,activation
0,16,activation
0,17,activation
0,19,activation
0,21,activation
0,22,repression
0,23,activation
0,24,activation
0,25,activation
0,26,activation
0,27,activation
0,28,repression
0,29,repression
0,32,activation
0,33,activation
0,36,repression
0,37,activation
0,39,activation
0,41,activation
0,42,repression
0,43,repression
0,44,activation
0,45,activation
0,46,activation
0,49,activation
0,53,repression
0,55,activation
0,56,activation
0,57,activation
0,60,activation
0,63,activation
0,64,repression
0,66,activation
0,69,activation
0,70,activation
0,72,repression
0,76,activation
0,82,repression
0,83,activation
0,84,activation
0,85,activation
0,89,activation
0,91,activation
0,93,activation
0,95,activation
0,98,activation
0,100,repression
0,104,activation
0,105,activation
0,107,activation
0,108,repression
0,109,activation
0,110,activation
0,111,activation
0,112,activation
0,113,repression
0,114,activation
0,115,activation
0,116,activation
0,118,repression
0,120,repression
0,129,repression
0,130,activation
0,132,activation
0,133,activation
0,136,activation
0,137,activation
0,139,activation
0,140,activation
0,141,activation
0,143,activation
0,144,activation
0,145,activation
0,146,activation
0,147,activation
0,148,activation
0,151,repression
0,152,activation
0,153,activation
0,155,activation
0,156,repression
0,157,repression
0,158,activation
0,159,activation
0,161,activation
0,163,activation
0,164,activation
0,165,repression
0,169,activation
0,170,activation
0,172,activation
0,173,repression
0,178,repression
0,182,activation
0,185,repression
0,186,activation
0,189,activation
0,190,repression
0,191,repression
0,192,activation
0,193,activation
0,196,activation
0,200,activation
0,201,activation
0,206,activation
0,207,repression
0,208,activation
0,210,activation
0,211,activation
0,216,activation
0,217,repression
0,219,activation
0,220,activation
0,222,activation
0,224,activation
0,228,activation
0,229,activation
0,230,activation
0,232,activation
0,237,activation
0,238,activation
0,241,activation
0,242,repression
0,244,activation
0,245,activation
0,246,activation
0,248,activation
0,251,activation
0,252,activation
0,255,activation
0,256,repression
0,260,activation
0,262,activation
0,263,activation
0,264,repression
0,265,repression
0,266,activation
0,268,activation
0,269,activation
0,271,activation
0,272,activation
0,274,activation
0,277,activation
0,278,repression
0,279,repression
0,280,activation
0,282,activation
0,283,activation
0,284,activation
0,286,repression
0,287,activation
0,288,activation
0,291,activation
0,292,activation
0,294,activation
0,298,activation
0,301,activation
0,306,activation
0,308,activation
0,309,activation
0,310,repression
0,312,activation
0,313,repression
0,314,activation
0,317,activation
0,318,activation
0,321,repression
0,325,repression
0,328,activation
0,330,activation
0,332,activation
0,333,activation
0,336,repression
0,337,repression
0,339,activation
0,340,repression
0,341,activation
0,344,activation
0,346,activation
0,349,repression
0,352,activation
0,353,activation
0,357,activation
0,360,activation
0,362,activation
0,363,activation
0,367,activation
0,368,activation
0,372,activation
0,374,activation
0,375,activation
0,379,activation
0,381,activation
0,386,repression
0,387,activation
0,393,activation
0,394,activation
0,402,activation
0,405,activation
0,407,repression
0,409,activation
0,411,repression
0,413,activation
0,414,repression
0,416,activation
0,417,activation
0,423,activation
0,426,activation
0,427,activation
0,431,repression
0,433,activation
0,434,activation
0,436,activation
0,437,repression
0,439,activation
0,441,activation
0,442,activation
0,443,activation
0,444,activation
0,447,activation
0,450,repression
0,455,activation
0,461,activation
0,471,activation
0,473,repression
0,475,repression
0,476,activation
0,479,activation
0,480,activation
0,481,activation
0,482,activation
0,483,repression
0,484,activation
0,492,activation
0,496,activation
0,497,activation
0,499,activation
0,501,repression
0,503,activation
0,506,activation
0,507,activation
0,512,activation
0,519,repression
0,521,activation
0,527,activation
0,528,activation
0,530,activation
0,536,activation
0,539,activation
0,542,activation
0,545,repression
0,553,activation
0,556,activation
0,560,repression
0,562,repression
0,563,activation
0,565,activation
0,571,activation
0,572,activation
0,574,activation
0,576,repression
0,583,activation
0,586,activation
0,587,activation
0,592,repression
0,593,activation
0,594,activation
0,596,activation
0,597,activation
0,601,activation
0,605,repression
0,608,activation
0,610,activation
0,612,activation
0,617,activation
0,618,activation
0,619,activation
0,622,activation
0,626,activation
0,627,repression
0,630,repression
0,636,repression
0,640,activation
0,642,activation
0,655,repression
0,658,activation
0,660,activation
0,661,activation
0,662,activation
0,669,repression
0,671,activation
0,672,activation
0,675,activation
0,676,activation
0,677,activation
0,678,activation
0,682,activation
0,686,activation
0,687,activation
0,688,activation
0,692,repression
0,700,activation
0,701,activation
0,702,repression
0,703,repression
0,706,activation
0,715,activation
0,717,activation
0,718,activation
0,720,activation
0,726,activation
0,734,activation
0,738,activation
0,740,activation
0,741,activation
0,742,activation
0,747,repression
0,749,activation
0,751,activation
0,753,activation
0,754,repression
0,757,activation
0,760,activation
0,761,repression
0,766,activation
0,769,activation
0,771,repression
0,773,activation
0,775,repression
0,777,activation
0,780,activation
0,785,repression
0,793,activation
0,795,activation
0,797,repression
0,799,activation
0,800,activation
0,802,activation
0,804,repression
0,805,activation
0,806,repression
0,809,activation
0,813,activation
0,814,activation
0,818,repression
0,819,repression
0,820,repression
0,821,activation
0,822,activation
0,825,activation
0,827,activation
0,828,activation
0,829,repression
0,831,activation
0,833,repression
0,834,activation
0,836,activation
0,837,activation
0,839,repression
0,841,activation
0,849,activation
0,850,activation
0,851,activation
0,853,activation
0,856,repression
0,862,activation
0,864,activation
0,867,activation
0,871,repression
0,873,activation
0,877,activation
0,878,activation
0,883,activation
0,889,repression
0,890,activation
0,893,activation
0,894,activation
0,901,activation
0,902,activation
0,903,activation
0,910,repression
0,918,activation
0,919,activation
0,921,repression
0,926,activation
0,927,activation
0,928,activation
0,933,activation
0,934,activation
0,935,activation
0,938,activation
0,942,activation
0,943,activation
0,947,repression
0,951,activation
0,952,activation
0,954,activation
0,959,activation
0,966,activation
0,968,activation
0,969,activation
0,972,repression
0,973,activation
0,974,activation
0,976,activation
0,978,activation
0,982,activation
0,986,activation
0,989,activation
0,990,activation
0,992,activation
0,993,activation
0,994,repression
0,999,repression
0,1001,activation
0,1002,activation
0,1010,activation
0,1019,activation
0,1021,activation
0,1027,activation
0,1028,activation
0,1031,activation
0,1035,repression
0,1036,activation
0,1044,activation
0,1050,activation
0,1052,activation
0,1059,activation
0,1062,repression
0,1064,repression
0,1065,activation
0,1069,activation
0,1072,activation
0,1074,activation
0,1077,activation
0,1079,activation
0,1084,activation
0,1087,repression
0,1091,activation
0,1092,repression
0,1093,activation
0,1098,activation
0,1100,activation
0,1104,repression
0,1109,activation
0,1116,activation
0,1125,activation
0,1128,activation
0,1133,activation
0,1135,activation
0,1136,activation
0,1140,activation
0,1142,activation
0,1145,activation
0,1150,activation
0,1153,repression
0,1158,activation
0,1159,activation
0,1160,repression
0,1164,activation
0,1167,activation
0,1168,repression
0,1170,activation
0,1172,repression
0,1177,repression
0,1180,activation
0,1183,activation
0,1185,repression
0,1186,repression
0,1187,activation
0,1189,repression
0,1191,activation
0,1192,activation
0,1196,activation
0,1197,repression
0,1203,activation
0,1207,activation
0,1210,activation
0,1219,activation
0,1221,activation
0,1224,activation
0,1228,repression
0,1231,activation
0,1236,activation
0,1237,activation
0,1238,repression
0,1239,activation
0,1243,activation
0,1247,activation
0,1251,activation
0,1257,activation
0,1260,repression
0,1266,activation
0,1268,activation
0,1273,activation
0,1278,activation
0,1281,activation
0,1289,activation
0,1291,activation
0,1293,activation
0,1294,repression
0,1298,repression
0,1299,repression
0,1300,activation
0,1301,activation
0,1316,activation
0,1317,activation
0,1321,repression
0,1322,activation
0,1323,activation
0,1326,activation
0,1330,activation
0,1333,activation
0,1334,activation
0,1335,activation
0,1349,activation
0,1351,activation
0,1353,activation
0,1354,repression
0,1357,activation
0,1359,repression
0,1361,activation
0,1366,activation
0,1368,activation
0,1369,repression
0,1379,activation
0,1385,activation
0,1387,activation
0,1389,activation
0,1393,activation
0,1399,activation
0,1406,activation
0,1416,activation
0,1425,activation
0,1426,activation
0,1429,activation
0,1430,activation
0,1432,repression
0,1434,activation
0,1443,activation
0,1448,activation
0,1453,repression
0,1456,repression
0,1458,activation
0,1466,activation
0,1469,activation
0,1470,activation
0,1473,activation
0,1483,repression
0,1484,activation
0,1488,activation
0,1492,activation
0,1506,activation
0,1508,activation
0,1517,activation
0,1519,repression
0,1521,activation
0,1522,activation
0,1530,activation
0,1538,repression
0,1539,repression
0,1540,repression
0,1552,repression
0,1557,activation
0,1559,activation
0,1560,repression
0,1561,activation
0,1562,activation
0,1573,activation
0,1574,repression
0,1575,activation
0,1577,activation
0,1583,activation
0,1600,activation
0,1605,repression
0,1608,activation
0,1611,activation
0,1624,repression
0,1626,activation
0,1630,activation
0,1635,activation
0,1636,activation
0,1637,activation
0,1638,activation
0,1639,activation
0,1640,activation
0,1644,repression
0,1646,activation
0,1647,activation
0,1655,activation
0,1668,repression
0,1674,activation
0,1683,repression
0,1685,repression
0,1692,activation
0,1700,activation
0,1716,activation
0,1719,activation
0,1722,repression
0,1723,activation
0,1741,activation
0,1745,activation
0,1747,activation
0,1752,activation
0,1753,activation
0,1756,activation
0,1762,repression
0,1768,activation
0,1770,activation
0,1771,activation
0,1776,activation
0,1779,activation
0,1788,activation
0,1791,activation
0,1804,activation
0,1805,activation
0,1806,repression
0,1808,activation
0,1818,activation
0,1820,activation
0,1827,activation
0,1830,activation
0,1831,activation
0,1834,activation
0,1840,activation
0,1850,activation
0,1852,repression
0,1854,repression
0,1858,activation
0,1861,repression
0,1864,activation
0,1868,activation
0,1870,activation
0,1872,activation
0,1878,activation
0,1880,activation
0,1885,repression
0,1886,repression
0,1889,activation
0,1894,activation
0,1898,activation
0,1907,repression
0,1914,repression
0,1918,activation
0,1925,activation
0,1926,activation
0,1933,activation
0,1936,activation
0,1940,activation
0,1945,activation
0,1946,activation
0,1952,activation
0,1956,activation
0,1966,activation
0,1973,activation
0,1978,activation
0,1980,activation
0,1985,activation
0,1986,activation
0,1990,repression
1,2,repression
1,8,activation
1,7,repression
1,18,repression
1,14,activation
1,4,repression
1,15,repression
1,52,activation
1,106,repression
1,6,repression
1,78,repression
1,171,repression
1,31,activation
1,202,activation
1,227,activation
1,240,repression
1,88,activation
1,297,repression
1,61,repression
1,415,repression
1,127,repression
1,235,repression
1,567,repression
1,1041,repression
1,99,activation
1,845,repression
1,194,repression
1,1152,activation
1,239,repression
1,511,repression
1,1592,activation
1,1652,activation
1,122,repression
1,830,activation
1,665,repression
1,585,repression
1,1206,repression
1,1897,repression
1,1949,repression
1,323,repression
1,3,repression
1,22,activation
1,63,activation
1,72,repression
1,107,repression
1,131,activation
1,159,repression
1,163,repression
1,237,repression
1,254,activation
1,259,repression
1,391,repression
1,394,activation
1,499,repression
1,583,repression
1,694,repression
1,804,repression
1,838,repression
1,898,repression
1,1274,repression
1,1338,repression
1,1355,repression
1,1422,repression
1,1516,repression
1,1659,repression
1,1744,repression
1,1751,repression
1,1832,activation
1,1835,repression
2,6,activation
2,8,activation
2,4,activation
2,51,activation
2,58,repression
2,61,activation
2,67,repression
2,31,activation
2,15,repression
2,2,repression
2,79,activation
2,81,repression
2,94,repression
2,121,repression
2,149,activation
2,88,repression
2,194,activation
2,123,activation
2,150,repression
2,124,activation
2,225,activation
2,297,activation
2,312,repression
2,316,activation
2,320,activation
2,356,repression
2,361,activation
2,383,repression
2,384,repression
2,40,activation
2,529,repression
2,544,repression
2,550,activation
2,188,repression
2,641,repression
2,162,repression
2,665,repression
2,668,repression
2,710,repression
2,728,activation
2,52,activation
2,35,activation
2,18,activation
2,845,repression
2,881,activation
2,995,repression
2,1055,activation
2,1120,activation
2,1137,repression
2,160,repression
2,1244,repression
2,663,repression
2,270,repression
2,1319,repression
2,1320,activation
2,1491,activation
2,202,repression
2,1713,activation
2,290,activation
2,1855,activation
2,1661,activation
2,1930,repression
2,7,repression
2,1206,repression
2,3,activation
2,5,activation
2,10,repression
2,11,repression
2,19,activation
2,21,repression
2,22,repression
2,23,repression
2,24,repression
2,25,activation
2,26,repression
2,27,repression
2,28,activation
2,30,activation
2,32,activation
2,33,repression
2,36,repression
2,37,activation
2,39,repression
2,41,activation
2,43,repression
2,46,repression
2,53,activation
2,57,repression
2,68,activation
2,69,repression
2,74,activation
2,75,repression
2,80,activation
2,82,activation
2,83,activation
2,89,repression
2,90,repression
2,93,repression
2,97,activation
2,101,repression
2,104,repression
2,107,repression
2,109,repression
2,112,repression
2,113,activation
2,115,activation
2,116,repression
2,117,activation
2,118,repression
2,120,activation
2,125,activation
2,129,activation
2,132,repression
2,133,activation
2,136,repression
2,140,repression
2,145,repression
2,146,repression
2,148,repression
2,151,activation
2,152,repression
2,155,repression
2,161,activation
2,164,repression
2,165,activation
2,174,repression
2,186,repression
2,187,repression
2,189,repression
2,192,repression
2,196,repression
2,198,activation
2,199,repression
2,204,repression
2,210,repression
2,211,repression
2,212,repression
2,219,repression
2,221,repression
2,222,repression
2,228,repression
2,231,activation
2,232,activation
2,233,activation
2,234,repression
2,241,repression
2,243,repression
2,244,repression
2,246,repression
2,247,repression
2,248,repression
2,252,activation
2,254,repression
2,256,repression
2,262,repression
2,266,repression
2,267,repression
2,269,repression
2,276,repression
2,278,repression
2,280,repression
2,282,repression
2,285,repression
2,295,activation
2,301,activation
2,305,repression
2,310,repression
2,311,repression
2,313,repression
2,328,repression
2,333,activation
2,336,repression
2,338,activation
2,341,repression
2,351,repression
2,359,repression
2,362,repression
2,369,repression
2,376,activation
2,378,repression
2,385,activation
2,388,activation
2,390,repression
2,393,repression
2,402,repression
2,405,activation
2,406,repression
2,408,activation
2,417,repression
2,423,activation
2,425,repression
2,428,activation
2,430,activation
2,432,repression
2,434,repression
2,436,repression
2,438,activation
2,444,repression
2,452,repression
2,453,repression
2,458,repression
2,461,repression
2,468,repression
2,477,repression
2,486,repression
2,489,repression
